Date,Mobile Operating System,Percent of Usage
,Samsung,4.53
,Unknown,4.36
,Windows Phone,1.25
,Sony Ericsson,0.6
,Linux,0.08
,bada,0.39
,Nokia Unknown,0
,LG,0.03
,Playstation,0.09
,WinCE,0
,Nintendo 3DS,0.16
,Nintendo,0.04
,webOS,0
,WinXP,0.01
,Brew,0.03
,Motorola,0.03
,Win7,0.02
,MeeGo,0.03
,Maemo 5,0.01
,WinVista,0
,Other,0.02
,Android,38.27
,iOS,25.86
,SymbianOS,7.68
,Series 40,12.74
,BlackBerry OS,3.47
,Samsung,4.57
,Unknown,4.65
,Windows Phone,1.33
,Sony Ericsson,0.58
,Linux,0.07
,bada,0.37
,Nokia Unknown,0
,LG,0.03
,Playstation,0.09
,WinCE,0
,Nintendo 3DS,0.1
,Nintendo,0.04
,webOS,0
,WinXP,0.01
,Brew,0.03
,Motorola,0.03
,Win7,0.01
,MeeGo,0.03
,Maemo 5,0.01
,WinVista,0
,Other,0.02
,Android,37.93
,iOS,25.09
,SymbianOS,7.69
,Series 40,13.43
,BlackBerry OS,3.46
,Samsung,4.75
,Unknown,4.87
,Windows Phone,1.4
,Sony Ericsson,0.57
,Linux,0.06
,bada,0.35
,Nokia Unknown,0
,LG,0.03
,Playstation,0.08
,WinCE,0
,Nintendo 3DS,0.1
,Nintendo,0.04
,webOS,0
,WinXP,0.02
,Brew,0.03
,Motorola,0.03
,Win7,0.01
,MeeGo,0.02
,Maemo 5,0.01
,WinVista,0
,Other,0.02
,Android,38.34
,iOS,24.79
,SymbianOS,6.39
,Series 40,14.38
,BlackBerry OS,3.66
,Samsung,4.64
,Unknown,3.63
,Windows Phone,1.52
,Sony Ericsson,0.54
,Linux,1.11
,bada,0.32
,Nokia Unknown,0
,LG,0.31
,Playstation,0.08
,WinCE,0
,Nintendo 3DS,0.09
,Nintendo,0.04
,webOS,0
,WinXP,0.03
,Brew,0.03
,Motorola,0.03
,Win7,0.01
,MeeGo,0.02
,Maemo 5,0
,WinVista,0.01
,Other,0.03
,Android,39.52
,iOS,23.44
,SymbianOS,6.33
,Series 40,14.24
,BlackBerry OS,3.75
,Samsung,4.59
,Unknown,3.55
,Windows Phone,1.62
,Sony Ericsson,0.5
,Linux,1.49
,bada,0.31
,Nokia Unknown,0
,LG,0.32
,Playstation,0.07
,WinCE,0
,Nintendo 3DS,0.05
,Nintendo,0.04
,webOS,0
,WinXP,0.02
,Brew,0.03
,Motorola,0.03
,Win7,0.01
,MeeGo,0.02
,Maemo 5,0
,WinVista,0.02
,Other,0.03
,Android,39.82
,iOS,22.73
,SymbianOS,6.3
,Series 40,14.13
,BlackBerry OS,3.75
,Samsung,4.82
,Unknown,3.75
,Windows Phone,1.7
,Sony Ericsson,0.49
,Linux,1.61
,bada,0.3
,Nokia Unknown,0
,LG,0.33
,Playstation,0.05
,WinCE,0
,Nintendo 3DS,0.04
,Nintendo,0.03
,webOS,0
,WinXP,0.02
,Brew,0.02
,Motorola,0.02
,Win7,0.01
,MeeGo,0.02
,Maemo 5,0
,WinVista,0.03
,Other,0.04
,Android,39.39
,iOS,20.54
,SymbianOS,6.49
,Series 40,14.64
,BlackBerry OS,3.81
,Samsung,4.97
,Unknown,5.35
,Windows Phone,1.71
,Sony Ericsson,0.57
,Linux,1.6
,bada,0.25
,Nokia Unknown,0
,LG,0.41
,Playstation,0.04
,WinCE,0
,Nintendo 3DS,0.03
,Nintendo,0.02
,webOS,0
,WinXP,0.02
,Brew,0.02
,Motorola,0.02
,Win7,0.01
,MeeGo,0.02
,Maemo 5,0
,WinVista,0.03
,Other,0.05
,Android,41.31
,iOS,21.94
,SymbianOS,5.45
,Series 40,13.6
,BlackBerry OS,3.84
,Samsung,4.77
,Unknown,4.12
,Windows Phone,1.95
,Sony Ericsson,0.55
,Linux,1.1
,bada,0.25
,Nokia Unknown,0.5
,LG,0.39
,Playstation,0.03
,WinCE,0
,Nintendo 3DS,0.03
,Nintendo,0.02
,webOS,0
,WinXP,0.02
,Brew,0.02
,Motorola,0.03
,Win7,0.01
,MeeGo,0.02
,Maemo 5,0
,WinVista,0.03
,Other,0.01
,Android,42.99
,iOS,21.82
,SymbianOS,4.95
,Series 40,13.02
,BlackBerry OS,3.63
,Samsung,4.54
,Unknown,4.3
,Windows Phone,2.08
,Sony Ericsson,0.48
,Linux,0.81
,bada,0.25
,Nokia Unknown,0.61
,LG,0.34
,Playstation,0.03
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0.02
,webOS,0
,WinXP,0.02
,Brew,0.02
,Motorola,0.02
,Win7,0
,MeeGo,0.02
,Maemo 5,0
,WinVista,0.03
,Other,0
,Android,44.53
,iOS,23.55
,SymbianOS,4.41
,Series 40,11.72
,BlackBerry OS,3.05
,Samsung,4.17
,Unknown,4.04
,Windows Phone,2.16
,Sony Ericsson,0.4
,Linux,0.64
,bada,0.24
,Nokia Unknown,0.61
,LG,0.3
,Playstation,0.04
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0.02
,webOS,0
,WinXP,0.02
,Brew,0.01
,Motorola,0.02
,Win7,0
,MeeGo,0.02
,Maemo 5,0
,WinVista,0.03
,Other,0
,Android,47.45
,iOS,22.97
,SymbianOS,3.99
,Series 40,10.87
,BlackBerry OS,2.62
,Samsung,3.86
,Unknown,3.78
,Windows Phone,2.22
,Sony Ericsson,0.36
,Linux,0.54
,bada,0.23
,Nokia Unknown,0.62
,LG,0.27
,Playstation,0.08
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0.01
,webOS,0
,WinXP,0.02
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.03
,Other,0
,Android,48.26
,iOS,23.6
,SymbianOS,3.69
,Series 40,10.24
,BlackBerry OS,2.5
,Samsung,3.66
,Unknown,3.68
,Windows Phone,2.22
,Sony Ericsson,0.34
,Linux,0.52
,bada,0.22
,Nokia Unknown,0.64
,LG,0.25
,Playstation,0.08
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0.01
,webOS,0
,WinXP,0.02
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.03
,Other,0
,Android,49.95
,iOS,23.25
,SymbianOS,3.43
,Series 40,9.54
,BlackBerry OS,2.16
,Samsung,3.57
,Unknown,3.63
,Windows Phone,2.4
,Sony Ericsson,0.32
,Linux,0.48
,bada,0.21
,Nokia Unknown,0.65
,LG,0.23
,Playstation,0.08
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0.01
,webOS,0
,WinXP,0.01
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0
,Android,52.23
,iOS,23.24
,SymbianOS,3.02
,Series 40,8.73
,BlackBerry OS,1.88
,Samsung,3.11
,Unknown,3.47
,Windows Phone,2.4
,Sony Ericsson,0.28
,Linux,0.47
,bada,0.18
,Nokia Unknown,0.63
,LG,0.21
,Playstation,0.07
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0.01
,webOS,0
,WinXP,0
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0
,Android,52.98
,iOS,24.29
,SymbianOS,2.76
,Series 40,7.9
,BlackBerry OS,1.87
,Samsung,2.66
,Unknown,3.38
,Windows Phone,2.37
,Sony Ericsson,0.24
,Linux,0.48
,bada,0.17
,Nokia Unknown,0.57
,LG,0.19
,Playstation,0.06
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0.01
,webOS,0
,WinXP,0
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0
,Android,53.51
,iOS,24.9
,SymbianOS,2.52
,Series 40,7.34
,BlackBerry OS,1.66
,Samsung,2.51
,Unknown,3.39
,Windows Phone,2.42
,Sony Ericsson,0.22
,Linux,0.5
,bada,0.15
,Nokia Unknown,0.56
,LG,0.18
,Playstation,0.07
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0.01
,webOS,0
,WinXP,0
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0
,Android,54.87
,iOS,23.57
,SymbianOS,2.49
,Series 40,7.24
,BlackBerry OS,1.59
,Samsung,2.51
,Unknown,3.59
,Windows Phone,2.36
,Sony Ericsson,0.21
,Linux,0.54
,bada,0.14
,Nokia Unknown,0.58
,LG,0.17
,Playstation,0.06
,WinCE,0
,Nintendo 3DS,0.01
,Nintendo,0.01
,webOS,0
,WinXP,0
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0
,Android,55.7
,iOS,24.73
,SymbianOS,2.18
,Series 40,6.94
,BlackBerry OS,1.57
,Samsung,2.28
,Unknown,2.7
,Windows Phone,2.29
,Sony Ericsson,0.2
,Linux,0.36
,bada,0.14
,Nokia Unknown,0.64
,LG,0.17
,Playstation,0.04
,WinCE,0
,Nintendo 3DS,0.01
,Nintendo,0.01
,webOS,0
,WinXP,0.01
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0
,Android,57.43
,iOS,25.96
,SymbianOS,1.8
,Series 40,5.68
,BlackBerry OS,1.29
,Samsung,1.8
,Unknown,2.33
,Windows Phone,2.32
,Sony Ericsson,0.15
,Linux,0.32
,bada,0.11
,Nokia Unknown,0.55
,LG,0.13
,Playstation,0.06
,WinCE,0
,Nintendo 3DS,0.01
,Nintendo,0
,webOS,0
,WinXP,0.01
,Brew,0.01
,Motorola,0.01
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0.01
,Android,59.9
,iOS,23.02
,SymbianOS,1.82
,Series 40,5.73
,BlackBerry OS,1.3
,Samsung,1.75
,Unknown,2.62
,Windows Phone,2.42
,Sony Ericsson,0.16
,Linux,0.35
,bada,0.11
,Nokia Unknown,0.58
,LG,0.13
,Playstation,0.04
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0
,webOS,0
,WinXP,0
,Brew,0.01
,Motorola,0
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0.01
,Android,58.96
,iOS,25.15
,SymbianOS,1.63
,Series 40,5.18
,BlackBerry OS,1.27
,Samsung,1.59
,Unknown,2.48
,Windows Phone,2.29
,Sony Ericsson,0.14
,Linux,0.27
,bada,0.1
,Nokia Unknown,0.74
,LG,0.12
,Playstation,0.04
,WinCE,0
,Nintendo 3DS,0.02
,Nintendo,0
,webOS,0
,WinXP,0
,Brew,0.01
,Motorola,0
,Win7,0
,MeeGo,0.01
,Maemo 5,0
,WinVista,0.02
,Other,0
